,,,,,,
name,description,glassware,Ingredients,method,garnish,
,,,Martini Rosso,cherry heering and absinthe in mixing,,
,,,Cherry Heering,"glass, stir and double strain into ",,
,,,Pernod Absinthe,small coupette and garnish,,
,,,,,,
Martini (House style),,Small Coupette,Beefeater,Combine Gin and vermouth in shaker,Small lemon twist,
,,,Martini Dry,stir till chilled and double strain into,,
,,,,small coupette and garnish,,
,,,,,,
Martini (Extra dry),,Small Coupette,Beefeater,Combine Gin and vermouth in shaker,Small lemon twist,
,,,Martini Dry,stir till chilled and double strain into,,
,,,,small coupette and garnish,,
,,,,,,
Martini (Vodka) or,,Small Coupette,Wyborowa,Combine Vodka and vermouth in ,Small lemon twist,
Kangaroo,,,Martini Dry,"shaker, stir till chilled and double",,
,,,,strain into small coupette and garnish,,
,,,,,,
Dirty Martini,,Small Coupette,Wyborowa/Beefeater,"Combine Vodka/Gin and vermouth, brine ",Two olives,
,,,Martini Dry,"in shaker, stir till chilled and double",,
,,,Olive Brine,strain into small coupette and garnish,,
,,,,,,
Gibson,,Small Coupette,Beefeater,Combine Gin and vermouth in shaker,Cocktail onion,
,,,Martini Dry,stir till chilled and double strain into,,
,,,,small coupette and garnish,,
,,,,,,
Vesper,,Small Coupette,Beefeater,"Combine Gin, vodka and Lillet in shaker",Small lemon twist,
,,,Wyborowa,stir till chilled and double strain into,,
,,,Lillet Blanc,small coupette and garnish,,
,,,,,,
Tuxedo,,Small Coupette,Beefeater,"Combine Gin, vermouth, maraschino",Small lemon twist,
,,,Martini Dry,"bitters and Absinthe, in mixing glass",,
,,,Maraschino,stir and doublestrain into small ,,
,,,Orange bitters,coupette and garnish,,
,,,Pernod Absinthe,,,
,,,,,,
Hanky Panky,,Small Coupette,Beefeater,"Combine Gin, vermouth and Fernet",Small orange twist,
,,,Dubonnet,"in mixing glass, stri and double strain",,
,,,Fernet Branca,into small coupette and garnish,,
,,,,,,
Classic Champagne,,Champagne flute,Martell V.S.O.P,"On a bev nap, soak sugar cube in",Small orange twist (discard),
Cocktail,,,Perrier Jouet N.V,Angostura bitters and place in flute,,
,,,White sugar cube,add cognac and top with champagne,,
,,,Angostura bitters,and garnish,,
,,,,,,
Alfonso Cocktail,,Champagne flute,Dubonnet,"On a bev nap, soak sugar cube in",Small orange twist (discard),
,,,Perrier Jouet N.V,Angostura bitters and place in flute,,
,,,White sugar cube,add Dubonnet and top with champagne,,
,,,Angostura bitters,and garnish,,
,,,,,,
East India Cocktail,,Small Coupette,Martell V.S.O.P,"Combine Cognac, Triple sec, ",Marasca cherry,
,,,Merlet Triple Sec,"maraschino, grenadine, bitters in",,
,,,Maraschino,"mixing glass, stir and strain into",,
,,,Homemade Grenadine,small coupette and garnish,,
,,,Angostura bitters,,,
,,,,,,
Gimlet,,Small Coupette,Beefeater,"Combine Gin, lime cordial and lime",Small lime twist,
,,,Lime cordial,"juice in mixing glass, stir and double",,
,,,lime juice,strain into coupette and garnish,,
,,,,,,
Blood and Sand,,Large Coupette,Chivas 12yr,"Combine Scotch, vermouth, Cherry",No garnish,
,,,Martini Rosso,Heering and orange juice in the shaker,,
,,,Cherry Heering,shake and double strain into coupette,,
,,,Orange juice,,,
,,,,,,
Rusty Nail,,Rocks Glass,Chivas 12yr,Build in rocks glass over cubed ice and,No garnish,
,,,Drambuie,"stir, top up with extra ice",,
,,,,,,
Boulevardier,,Small Coupette,Four Roses small batch,"Combine Bourbon, Campari and",Marasca cherry,
,,,Campari,"Vermouth in mixing glass, stir and",,
,,,Antica Formula,"double strain into coupette, garnish",,
,,,,,,
Daiquiri,,Large Coupette,Havana 3yr,"Combine Rum, lime juice and gomme ",Lime wedge,
,,,Lime juice (fresh),"in shaker, shake and double strain",,
,,,Gomme,into large coupette and garnish,,
,,,,,,
Mulata Daiquiri,,Large Coupette,Havana 3yr,"Combine Rum, lime juice and cacao",Lime wedge,
,,,Lime juice,"in shaker, shake and double strain",,
,,,Creme de Cacao (dark),into large coupette and garnish,,
,,,,,,
El Presidente,,Small Coupette,Havana Barrel Proof,"Combine Rum, vermouth, triple sec",Small orange twist,
,,,Martini Rosso,"grenadine in mixing glass, stir and",,
,,,Merlet Triple Sec,double strain into small coupette,,
,,,Homemade grenadine,and garnish,,
,,,,,,
Hemmingway Daiquiri,,Large Coupette,Havana 3yr,"Combine Rum, lime and grapefruit ",No garnish,
,,,Lime juice (fresh),"juice, Maraschino and gomme in shaker",,
,,,Grapefruit juice (fresh),shake and double strain into,,
,,,Marashino,large coupette ,,
,,,Gomme,,,
,,,,,,
Santiago Daisy,,Wine Glass,Havana 3yr,"Combine Rum, lime juice and gomme",Mint Sprig,
,,,Lime juice (fresh),"in shaker, shake and strain into wine",,
,,,Yellow Chartreuse,glass over cracked ice and float ,,
,,,Gomme,"Yellow Chartreuse on top, garnish",,
,,,,,,
Russian Spring Punch,,Hi-Ball,Wyborowa,"Combine Vodka, cassis, lemon juice",Lemon slice,
,,,Merlet Cassis,"and gomme in shaker, shake and ",,
,,,Lemon juice,double strain into Hi-Ball over cubed ice,,
,,,Gomme,and top with champagne and garnish,,
,,,Perrier Jouet,,,
,,,,,,
Consulate,,Small Coupette,El Dorado 5yr,"Combine rum, vermouth, sherry and",Small orange twist,
,,,Martini Rosso,"peche in shaker, stir over cubed ice",,
,,,Tio Pepe,and double strain into small coupette,,
,,,Merlet Peche,and garnish,,
,,,,,,
Oh Gosh,,Large Coupette,Havana 3yr,"Combine rum, lime juice, triple sec ",Large lemon twist,
,,,Lime juice,"and gomme in shaker, shake hard over",,
,,,Merlet Triple Sec,cubed ice and double strain into,,
,,,Gomme,coupette and garnish,,
,,,,,,
Rainbeau Sour,,Large Coupette,Pineau de Charente,"Combine, Pineau, Abricot, lemon juice",No garnish,
,,,Briotette Abricot,"egg white and gomme in shaker, ",,
,,,Lemon juice,"dry shake, shake over cubed ice",,
,,,Egg White,and strain into coupette,,
,,,Gomme,,,
,,,,,,
Sicilian Sour,,Large Coupette,Amaretto Disaranno,"Combine Amaretto, Abricot, lemon",Lemon slice + Angostura bitters,
,,,Briotette Abricot,"juice, egg white, gomme and bitters",,
,,,Lemon juice,"in shaker, dry shake and shake over ",,
,,,Egg White,cubed ice and strain into coupette,,
,,,Gomme,garnish with Angostura bitters in,,
,,,Angostura Bitters,shape of a star + lemon slice,,
